subset,class_index,class_name,relative_path
train,2,normal,normal/normal (77).png
train,0,benign,benign/benign (5).png
train,0,benign,benign/benign (86).png
train,0,benign,benign/benign (244).png
train,1,malignant,malignant/malignant (206).png
train,0,benign,benign/benign (250).png
train,0,benign,benign/benign (357).png
train,0,benign,benign/benign (27).png
train,0,benign,benign/benign (85).png
train,0,benign,benign/benign (30).png
train,1,malignant,malignant/malignant (159).png
train,1,malignant,malignant/malignant (78).png
train,0,benign,benign/benign (148).png
train,1,malignant,malignant/malignant (105).png
train,2,normal,normal/normal (126).png
train,2,normal,normal/normal (100).png
train,2,normal,normal/normal (71).png
train,1,malignant,malignant/malignant (158).png
train,0,benign,benign/benign (133).png
train,1,malignant,malignant/malignant (205).png
train,0,benign,benign/benign (118).png
train,2,normal,normal/normal (62).png
train,0,benign,benign/benign (81).png
train,0,benign,benign/benign (314).png
train,1,malignant,malignant/malignant (108).png
train,1,malignant,malignant/malignant (210).png
train,1,malignant,malignant/malignant (10).png
train,0,benign,benign/benign (29).png
train,1,malignant,malignant/malignant (3).png
train,2,normal,normal/normal (124).png
train,1,malignant,malignant/malignant (16).png
train,1,malignant,malignant/malignant (60).png
train,0,benign,benign/benign (423).png
train,0,benign,benign/benign (321).png
train,0,benign,benign/benign (395).png
train,0,benign,benign/benign (135).png
train,2,normal,normal/normal (13).png
train,2,normal,normal/normal (55).png
train,2,normal,normal/normal (82).png
train,1,malignant,malignant/malignant (177).png
train,1,malignant,malignant/malignant (137).png
train,0,benign,benign/benign (349).png
train,2,normal,normal/normal (75).png
train,0,benign,benign/benign (187).png
train,2,normal,normal/normal (9).png
train,1,malignant,malignant/malignant (167).png
train,0,benign,benign/benign (87).png
train,0,benign,benign/benign (199).png
train,2,normal,normal/normal (80).png
train,0,benign,benign/benign (24).png
train,0,benign,benign/benign (216).png
train,0,benign,benign/benign (427).png
train,0,benign,benign/benign (77).png
train,1,malignant,malignant/malignant (117).png
train,1,malignant,malignant/malignant (115).png
train,0,benign,benign/benign (204).png
train,2,normal,normal/normal (108).png
train,1,malignant,malignant/malignant (157).png
train,0,benign,benign/benign (397).png
train,0,benign,benign/benign (241).png
train,0,benign,benign/benign (71).png
train,0,benign,benign/benign (330).png
train,0,benign,benign/benign (94).png
train,1,malignant,malignant/malignant (50).png
train,1,malignant,malignant/malignant (173).png
train,1,malignant,malignant/malignant (96).png
train,0,benign,benign/benign (368).png
train,0,benign,benign/benign (428).png
train,0,benign,benign/benign (342).png
train,2,normal,normal/normal (14).png
train,1,malignant,malignant/malignant (1).png
train,0,benign,benign/benign (332).png
train,0,benign,benign/benign (44).png
train,0,benign,benign/benign (22).png
train,0,benign,benign/benign (130).png
train,0,benign,benign/benign (345).png
train,1,malignant,malignant/malignant (208).png
train,2,normal,normal/normal (57).png
train,2,normal,normal/normal (113).png
train,1,malignant,malignant/malignant (46).png
train,1,malignant,malignant/malignant (118).png
train,0,benign,benign/benign (230).png
train,1,malignant,malignant/malignant (144).png
train,1,malignant,malignant/malignant (49).png
train,1,malignant,malignant/malignant (51).png
train,0,benign,benign/benign (103).png
train,0,benign,benign/benign (31).png
train,2,normal,normal/normal (35).png
train,0,benign,benign/benign (420).png
train,0,benign,benign/benign (84).png
train,0,benign,benign/benign (286).png
train,0,benign,benign/benign (284).png
train,2,normal,normal/normal (129).png
train,0,benign,benign/benign (110).png
train,2,normal,normal/normal (103).png
train,0,benign,benign/benign (227).png
train,0,benign,benign/benign (278).png
train,0,benign,benign/benign (175).png
train,0,benign,benign/benign (433).png
train,0,benign,benign/benign (126).png
train,0,benign,benign/benign (289).png
train,0,benign,benign/benign (189).png
train,0,benign,benign/benign (429).png
train,0,benign,benign/benign (93).png
train,1,malignant,malignant/malignant (114).png
train,1,malignant,malignant/malignant (18).png
train,0,benign,benign/benign (172).png
train,0,benign,benign/benign (412).png
train,0,benign,benign/benign (163).png
train,2,normal,normal/normal (111).png
train,0,benign,benign/benign (274).png
train,2,normal,normal/normal (102).png
train,0,benign,benign/benign (239).png
train,2,normal,normal/normal (48).png
train,1,malignant,malignant/malignant (85).png
train,0,benign,benign/benign (101).png
train,0,benign,benign/benign (295).png
train,1,malignant,malignant/malignant (188).png
train,0,benign,benign/benign (109).png
train,0,benign,benign/benign (339).png
train,0,benign,benign/benign (142).png
train,0,benign,benign/benign (381).png
train,1,malignant,malignant/malignant (207).png
train,1,malignant,malignant/malignant (92).png
train,0,benign,benign/benign (365).png
train,0,benign,benign/benign (183).png
train,2,normal,normal/normal (45).png
train,0,benign,benign/benign (319).png
train,0,benign,benign/benign (388).png
train,0,benign,benign/benign (138).png
train,0,benign,benign/benign (42).png
train,0,benign,benign/benign (294).png
train,0,benign,benign/benign (385).png
train,0,benign,benign/benign (209).png
train,0,benign,benign/benign (99).png
train,0,benign,benign/benign (406).png
train,0,benign,benign/benign (116).png
train,0,benign,benign/benign (264).png
train,2,normal,normal/normal (69).png
train,0,benign,benign/benign (2).png
train,1,malignant,malignant/malignant (171).png
train,0,benign,benign/benign (15).png
train,1,malignant,malignant/malignant (172).png
train,0,benign,benign/benign (287).png
train,2,normal,normal/normal (130).png
train,2,normal,normal/normal (116).png
train,2,normal,normal/normal (81).png
train,0,benign,benign/benign (435).png
train,0,benign,benign/benign (45).png
train,2,normal,normal/normal (41).png
train,0,benign,benign/benign (296).png
train,1,malignant,malignant/malignant (25).png
train,0,benign,benign/benign (415).png
train,0,benign,benign/benign (346).png
train,1,malignant,malignant/malignant (110).png
train,0,benign,benign/benign (134).png
train,0,benign,benign/benign (255).png
train,0,benign,benign/benign (336).png
train,1,malignant,malignant/malignant (199).png
train,1,malignant,malignant/malignant (72).png
train,1,malignant,malignant/malignant (34).png
train,1,malignant,malignant/malignant (45).png
train,2,normal,normal/normal (70).png
train,0,benign,benign/benign (431).png
train,0,benign,benign/benign (3).png
train,0,benign,benign/benign (363).png
train,0,benign,benign/benign (366).png
train,2,normal,normal/normal (65).png
train,2,normal,normal/normal (51).png
train,0,benign,benign/benign (324).png
train,1,malignant,malignant/malignant (128).png
train,0,benign,benign/benign (7).png
train,1,malignant,malignant/malignant (90).png
train,1,malignant,malignant/malignant (29).png
train,0,benign,benign/benign (68).png
train,0,benign,benign/benign (297).png
train,0,benign,benign/benign (249).png
train,0,benign,benign/benign (436).png
train,2,normal,normal/normal (2).png
