run,seed,model,accuracy,macro_f1,macro_auroc,macro_auprc
1,42,CTMF-Net,0.8728813559322034,0.8706953423934557,0.9501169453931082,0.9147439610997136
1,42,DSDNet (same-mask adaptation),0.8983050847457628,0.902048975512244,0.9552338004372888,0.9324242648581826
1,42,FiLMoS-Net (cold start),0.9152542372881356,0.9180471775891624,0.9553845702101516,0.9480198152410724
1,42,Hybrid CNN-LSTM,0.8813559322033898,0.8933954933954934,0.9483424359877848,0.9150178265705922
1,42,SAE-Net (image-spectrum adaptation),0.9067796610169492,0.9127302165553532,0.967236373123001,0.9492754361560128
1,42,ViT,0.8050847457627118,0.8017328583366319,0.92186681212844,0.8628869689624911
2,43,CTMF-Net,0.8898305084745762,0.892801548235096,0.95186519714136,0.9175694436096647
2,43,DSDNet (same-mask adaptation),0.864406779661017,0.8762626262626263,0.948953702950796,0.921440110025349
2,43,FiLMoS-Net (cold start),0.9322033898305084,0.939083139083139,0.986249175566036,0.9810566516862602
2,43,Hybrid CNN-LSTM,0.8728813559322034,0.8849089841456254,0.9709466083012596,0.9561609766044858
2,43,SAE-Net (image-spectrum adaptation),0.9152542372881356,0.9213609372492376,0.9711899857248696,0.9550906081375232
2,43,ViT,0.847457627118644,0.8530734632683658,0.9259404193997216,0.8761197424511776
3,44,CTMF-Net,0.8559322033898306,0.8651285164946367,0.9387439917963172,0.9117396043069892
3,44,DSDNet (same-mask adaptation),0.864406779661017,0.8762626262626263,0.9480087096366168,0.9200712396349178
3,44,FiLMoS-Net (cold start),0.940677966101695,0.94541910331384,0.9888201672358649,0.9826150186761884
3,44,Hybrid CNN-LSTM,0.8898305084745762,0.8968629832017809,0.9513533139986629,0.9301559214933852
3,44,SAE-Net (image-spectrum adaptation),0.923728813559322,0.9298245614035088,0.9813734392222764,0.9728742214010208
3,44,ViT,0.8389830508474576,0.8464266567693514,0.9135973441932744,0.85157546570668
4,45,CTMF-Net,0.8389830508474576,0.8563770295807783,0.9333106331652844,0.8928052935380176
4,45,DSDNet (same-mask adaptation),0.8559322033898306,0.8567805716741886,0.9598421604235556,0.9332784823603943
4,45,FiLMoS-Net (cold start),0.9576271186440678,0.9603319166160696,0.983026824596592,0.979450248949793
4,45,Hybrid CNN-LSTM,0.847457627118644,0.8584496870486279,0.9368460996367972,0.8944236003101714
4,45,SAE-Net (image-spectrum adaptation),0.8898305084745762,0.9002544529262085,0.9536306716539276,0.931179647268387
4,45,ViT,0.7966101694915254,0.7955138236828377,0.916507709022244,0.8493766770392751
5,46,CTMF-Net,0.8559322033898306,0.8674463937621831,0.9420428570137872,0.9191086509573568
5,46,DSDNet (same-mask adaptation),0.8389830508474576,0.8492612831410646,0.9368768747402468,0.8996400570118647
5,46,FiLMoS-Net (cold start),0.940677966101695,0.9462908592679584,0.9881654198514664,0.9824849029542057
5,46,Hybrid CNN-LSTM,0.8559322033898306,0.8695635153650421,0.9529039274678808,0.929723358312734
5,46,SAE-Net (image-spectrum adaptation),0.9322033898305084,0.9370887497993902,0.9757732174156594,0.9572700786754148
5,46,ViT,0.8220338983050848,0.8147137415430098,0.9190239266547406,0.8641359282324522
