class,threshold,recall,precision
benign,0.0004003141,1.0000000000,0.5593220339
benign,0.0007517950,1.0000000000,0.5641025641
benign,0.0009106604,1.0000000000,0.5689655172
benign,0.0009940311,1.0000000000,0.5739130435
benign,0.0015374636,1.0000000000,0.5789473684
benign,0.0035840380,1.0000000000,0.5840707965
benign,0.0043946812,1.0000000000,0.5892857143
benign,0.0047103809,1.0000000000,0.5945945946
benign,0.0048536952,1.0000000000,0.6000000000
benign,0.0058680428,1.0000000000,0.6055045872
benign,0.0072062360,1.0000000000,0.6111111111
benign,0.0080081858,1.0000000000,0.6168224299
benign,0.0088235987,1.0000000000,0.6226415094
benign,0.0145469764,1.0000000000,0.6285714286
benign,0.0164426807,1.0000000000,0.6346153846
benign,0.0168777965,1.0000000000,0.6407766990
benign,0.0173196029,1.0000000000,0.6470588235
benign,0.0212923251,1.0000000000,0.6534653465
benign,0.0256078709,1.0000000000,0.6600000000
benign,0.0264381375,1.0000000000,0.6666666667
benign,0.0298232660,1.0000000000,0.6734693878
benign,0.0401903987,1.0000000000,0.6804123711
benign,0.0403899178,1.0000000000,0.6875000000
benign,0.0411033742,1.0000000000,0.6947368421
benign,0.0452112071,1.0000000000,0.7021276596
benign,0.0452264249,1.0000000000,0.7096774194
benign,0.0454070121,1.0000000000,0.7173913043
benign,0.0502959564,1.0000000000,0.7252747253
benign,0.0519937985,1.0000000000,0.7333333333
benign,0.0608604066,1.0000000000,0.7415730337
benign,0.0610112213,1.0000000000,0.7500000000
benign,0.0684757233,1.0000000000,0.7586206897
benign,0.0898395404,1.0000000000,0.7674418605
benign,0.0924707502,1.0000000000,0.7764705882
benign,0.0991922989,1.0000000000,0.7857142857
benign,0.1078246236,1.0000000000,0.7951807229
benign,0.1088282242,1.0000000000,0.8048780488
benign,0.1108196080,1.0000000000,0.8148148148
benign,0.1206283346,1.0000000000,0.8250000000
benign,0.1304749101,1.0000000000,0.8354430380
benign,0.1455081403,1.0000000000,0.8461538462
benign,0.1481296718,0.9848484848,0.8441558442
benign,0.1862310469,0.9848484848,0.8552631579
benign,0.2008362263,0.9848484848,0.8666666667
benign,0.3044566512,0.9848484848,0.8783783784
benign,0.3102647960,0.9848484848,0.8904109589
benign,0.3232390583,0.9848484848,0.9027777778
benign,0.3679390848,0.9848484848,0.9154929577
benign,0.4182640910,0.9696969697,0.9142857143
benign,0.4789704680,0.9696969697,0.9275362319
benign,0.5504791737,0.9545454545,0.9264705882
benign,0.6026589870,0.9545454545,0.9402985075
benign,0.6374062300,0.9393939394,0.9393939394
benign,0.7169244885,0.9242424242,0.9384615385
benign,0.7340630889,0.9242424242,0.9531250000
benign,0.7354444861,0.9090909091,0.9523809524
benign,0.7681155801,0.8939393939,0.9516129032
benign,0.7721226215,0.8787878788,0.9508196721
benign,0.7824022770,0.8636363636,0.9500000000
benign,0.7868024707,0.8636363636,0.9661016949
benign,0.7904502153,0.8484848485,0.9655172414
benign,0.7910608053,0.8333333333,0.9649122807
benign,0.8016973734,0.8181818182,0.9642857143
benign,0.8112474680,0.8030303030,0.9636363636
benign,0.8118525743,0.7878787879,0.9629629630
