class,threshold,false_positive_rate,true_positive_rate
benign,inf,0.0000000000,0.0000000000
benign,0.9795376658,0.0000000000,0.0151515152
benign,0.9317674041,0.0000000000,0.3181818182
benign,0.9306844473,0.0192307692,0.3181818182
benign,0.8663022518,0.0192307692,0.6818181818
benign,0.8596177101,0.0384615385,0.6818181818
benign,0.7868024707,0.0384615385,0.8636363636
benign,0.7824022770,0.0576923077,0.8636363636
benign,0.7340630889,0.0576923077,0.9242424242
benign,0.7169244885,0.0769230769,0.9242424242
benign,0.6026589870,0.0769230769,0.9545454545
benign,0.5504791737,0.0961538462,0.9545454545
benign,0.4789704680,0.0961538462,0.9696969697
benign,0.4182640910,0.1153846154,0.9696969697
benign,0.3679390848,0.1153846154,0.9848484848
benign,0.1481296718,0.2307692308,0.9848484848
benign,0.1455081403,0.2307692308,1.0000000000
benign,0.0004003141,1.0000000000,1.0000000000
malignant,inf,0.0000000000,0.0000000000
malignant,0.9995635152,0.0000000000,0.0312500000
malignant,0.9068171382,0.0000000000,0.6562500000
malignant,0.8537740707,0.0116279070,0.6562500000
malignant,0.6752511859,0.0116279070,0.8125000000
malignant,0.6311385036,0.0232558140,0.8125000000
malignant,0.5810226798,0.0232558140,0.8437500000
malignant,0.5188548565,0.0348837209,0.8437500000
malignant,0.4486079514,0.0348837209,0.8750000000
malignant,0.3457388282,0.0813953488,0.8750000000
malignant,0.2822936177,0.0813953488,0.9062500000
malignant,0.2218239456,0.1627906977,0.9062500000
malignant,0.2172284126,0.1627906977,0.9375000000
malignant,0.1401523799,0.3488372093,0.9375000000
malignant,0.1397891939,0.3488372093,0.9687500000
malignant,0.0699091107,0.7093023256,0.9687500000
malignant,0.0689660832,0.7093023256,1.0000000000
malignant,0.0175158009,1.0000000000,1.0000000000
normal,inf,0.0000000000,0.0000000000
normal,0.9766161442,0.0000000000,0.0500000000
normal,0.5061314702,0.0000000000,1.0000000000
normal,0.0000361562,1.0000000000,1.0000000000
